producer	producer_file_line	callsite_file_line	verdict	evidence
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:2689	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:2737	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:2787	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlTukeyHSD	eml-inferential.praat:2402	eml-inferential.praat:2861	RAISED	propagates to the caller's own .error$ (`.error$ = emlTukeyHSD.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlAuditColumn	eml-extract.praat:1170	eml-inferential.praat:3048	SWALLOWED-SILENT	"inside @emlRequireNumericColumn: `if emlAuditColumn.error$ = """" ... endif` — when emlAuditColumn.error$ IS non-empty (column not found), the whole block is skipped and emlRequireNumericColumn's own .error$ is NEVER set, so the gate procedure reports success on a genuinely-missing column on this path."
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:3199	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:3204	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:3209	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-inferential.praat:3222	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_parseAnovaLine	eml-inferential.praat:2133	eml-inferential.praat:3286	RAISED	propagates to the caller's own .error$ (`.error$ = eml_parseAnovaLine.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_parseAnovaLine	eml-inferential.praat:2133	eml-inferential.praat:3302	RAISED	propagates to the caller's own .error$ (`.error$ = eml_parseAnovaLine.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_parseAnovaLine	eml-inferential.praat:2133	eml-inferential.praat:3319	RAISED	propagates to the caller's own .error$ (`.error$ = eml_parseAnovaLine.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_parseAnovaLine	eml-inferential.praat:2133	eml-inferential.praat:3336	RAISED	propagates to the caller's own .error$ (`.error$ = eml_parseAnovaLine.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_parseAnovaLine	eml-inferential.praat:2133	eml-inferential.praat:3350	RAISED	propagates to the caller's own .error$ (`.error$ = eml_parseAnovaLine.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:3669	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:3675	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:3695	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:3712	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlEpsilonSquared	eml-inferential.praat:3572	eml-inferential.praat:3794	SWALLOWED-SILENT	"`if emlEpsilonSquared.error$ = """" then .epsilonSq = emlEpsilonSquared.result else .epsilonSq = undefined` — no message printed for the else branch."
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:3894	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:3901	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:3921	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:3938	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlBonferroni	eml-inferential.praat:1866	eml-inferential.praat:4025	UNCHECKED	"`@emlBonferroni: .rawP#` / `.adjustedP# = emlBonferroni.adjusted#`, no error check — every pairwise raw p can be undefined (zero-SE skip) and the adjuster's ""All p-values are undefined."" is discarded."
emlHolm	eml-inferential.praat:1935	eml-inferential.praat:4028	UNCHECKED	same elsif branch, no error check on emlHolm.error$.
emlBenjaminiHochberg	eml-inferential.praat:2034	eml-inferential.praat:4031	UNCHECKED	same elsif branch, no error check on emlBenjaminiHochberg.error$.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4062	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4065	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlRankBiserialR	eml-inferential.praat:1703	eml-inferential.praat:4067	SWALLOWED-SILENT	"`if emlRankBiserialR.error$ = """" ... else .rMatrix##[.i,.j] = undefined ... endif` — marked undefined (better than a misleading zero) but no text explaining why is ever printed anywhere in this call chain."
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:4194	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-inferential.praat:4216	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:4223	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4263	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4266	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlTTest	eml-inferential.praat:120	eml-inferential.praat:4271	SWALLOWED-SILENT	"`if emlTTest.error$ <> """" then ... .skipReason$ = emlTTest.error$ ... .pairError$ = emlTTest.error$` (inside @emlPairwiseT) — both are documented/local outputs, but the caller (@emlRunPairwiseAnalysis in eml-analysis.praat) never reads skipReason$, so a per-pair t-test failure never reaches the user (contrast with the RM/Friedman path at eml-analysis.praat:3561, which does print it)."
emlCohenD	eml-inferential.praat:496	eml-inferential.praat:4299	SWALLOWED-SILENT	"`if emlCohenD.error$ <> """" then .dFlat#[.pairIdx] = undefined` — marked undefined, but the enclosing procedure's own `.skipReason$` output (which would carry the reason) is never read by its caller (@emlRunPairwiseAnalysis in eml-analysis.praat never references skipReason$)."
emlBonferroni	eml-inferential.praat:1866	eml-inferential.praat:4311	UNCHECKED	same three-way adjustment block repeated in this procedure, no error check.
emlHolm	eml-inferential.praat:1935	eml-inferential.praat:4314	UNCHECKED	same block, no error check.
emlBenjaminiHochberg	eml-inferential.praat:2034	eml-inferential.praat:4317	UNCHECKED	same block, no error check.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:4426	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-inferential.praat:4442	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:4449	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4470	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4487	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4490	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlRankBiserialR	eml-inferential.praat:1703	eml-inferential.praat:4495	SWALLOWED-SILENT	"`if emlRankBiserialR.error$ <> """" then ... .skipReason$ = emlRankBiserialR.error$` — .skipReason$ is a documented output of the enclosing procedure but its caller (eml-analysis.praat) never reads it."
emlBonferroni	eml-inferential.praat:1866	eml-inferential.praat:4518	UNCHECKED	same three-way adjustment block repeated again, no error check.
emlHolm	eml-inferential.praat:1935	eml-inferential.praat:4521	UNCHECKED	same block, no error check.
emlBenjaminiHochberg	eml-inferential.praat:2034	eml-inferential.praat:4524	UNCHECKED	same block, no error check.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:4623	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:4636	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4661	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:4814	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:4819	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:4826	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4850	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:4892	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:5054	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:5059	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:5066	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:5092	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:5331	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:5336	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:5343	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:5378	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:5512	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:5515	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlCohenD	eml-inferential.praat:496	eml-inferential.praat:5517	SWALLOWED-SILENT	"`if emlCohenD.error$ = """" ... else .dMatrix##[.i,.j] = undefined ... endif` inside @emlGamesHowell — marked undefined with no accompanying text anywhere in the call chain."
emlLinearRegression	eml-inferential.praat:5563	eml-inferential.praat:5964	RAISED	propagates to the caller's own .error$ (`.error$ = emlLinearRegression.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholesky	eml-linalg.praat:50	eml-linalg.praat:129	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholesky.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholesky	eml-linalg.praat:50	eml-linalg.praat:197	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholesky.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlForwardSolve	eml-linalg.praat:143	eml-linalg.praat:204	RAISED	propagates to the caller's own .error$ (`.error$ = emlForwardSolve.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlBackSolve	eml-linalg.praat:168	eml-linalg.praat:211	RAISED	propagates to the caller's own .error$ (`.error$ = emlBackSolve.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholesky	eml-linalg.praat:50	eml-linalg.praat:234	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholesky.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlForwardSolve	eml-linalg.praat:143	eml-linalg.praat:248	RAISED	propagates to the caller's own .error$ (`.error$ = emlForwardSolve.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlBackSolve	eml-linalg.praat:168	eml-linalg.praat:254	RAISED	propagates to the caller's own .error$ (`.error$ = emlBackSolve.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholeskySolveMulti	eml-linalg.praat:227	eml-linalg.praat:284	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholeskySolveMulti.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlForwardSolve	eml-linalg.praat:143	eml-linalg.praat:309	RAISED	propagates to the caller's own .error$ (`.error$ = emlForwardSolve.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlBackSolve	eml-linalg.praat:168	eml-linalg.praat:337	RAISED	propagates to the caller's own .error$ (`.error$ = emlBackSolve.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholesky	eml-linalg.praat:50	eml-lmm.praat:1229	SWALLOWED-SILENT	"inside @emlProfiledDeviance (the BOBYQA/Nelder-Mead objective function): `if emlCholesky.error$ <> """" then .value = 1e30 (goto END_PROFDEV)` — the failure is converted into a large penalty value fed back into the optimizer; no message ever reaches the user."
emlCholesky	eml-linalg.praat:50	eml-lmm.praat:1251	SWALLOWED-SILENT	"same objective function, second Cholesky call: `if emlCholesky.error$ <> """" then .value = 1e30` — same silent-penalty handling."
emlCholesky	eml-linalg.praat:50	eml-lmm.praat:1330	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholesky.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholesky	eml-linalg.praat:50	eml-lmm.praat:1347	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholesky.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlParseFormula	eml-lmm.praat:187	eml-lmm.praat:1414	RAISED	propagates to the caller's own .error$ (`.error$ = emlParseFormula.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlBOBYQA	eml-optimizer.praat:1603	eml-lmm.praat:1487	SWALLOWED-SILENT	`.optimError$ = emlBOBYQA.error$` is captured but that local variable is never read again anywhere in the file (grep for `optimError$` returns only this one assignment); only the numeric `.converged` flag survives downstream.
emlRecoverBetaSigma	eml-lmm.praat:1313	eml-lmm.praat:1524	RAISED	propagates to the caller's own .error$ (`.error$ = emlRecoverBetaSigma.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCholesky	eml-linalg.praat:50	eml-lmm.praat:1636	RAISED	propagates to the caller's own .error$ (`.error$ = emlCholesky.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
